time,ACE
2024-01-24 07:25:15,330.33
2024-01-24 07:25:30,284.9
2024-01-24 07:25:45,256.1
2024-01-24 07:26:00,266.66
2024-01-24 07:26:15,264.85
2024-01-24 07:26:30,218.58
2024-01-24 07:26:45,122.46
2024-01-24 07:27:00,164.2
2024-01-24 07:27:15,109.74
2024-01-24 07:27:30,101.36
2024-01-24 07:27:45,65.13
2024-01-24 07:28:00,88.46
2024-01-24 07:28:15,134.41
2024-01-24 07:28:30,101.89
2024-01-24 07:28:45,160.56
2024-01-24 07:29:00,174.43
2024-01-24 07:29:15,93.98
2024-01-24 07:29:30,73.99
2024-01-24 07:29:45,102.91
2024-01-24 07:30:00,90.58
2024-01-24 07:30:15,54.85
2024-01-24 07:30:30,-2.67
2024-01-24 07:30:45,-21.79
2024-01-24 07:31:00,96.6
2024-01-24 07:31:15,40.9
2024-01-24 07:31:30,-34.24
2024-01-24 07:31:45,-76.05
2024-01-24 07:32:00,-23.09
2024-01-24 07:32:15,66.65
2024-01-24 07:32:30,165.89
2024-01-24 07:32:45,105.82
2024-01-24 07:33:00,-26.74
2024-01-24 07:33:15,-59.62
2024-01-24 07:33:30,24.35
2024-01-24 07:33:45,22.25
2024-01-24 07:34:00,53.53
2024-01-24 07:34:15,70.02
2024-01-24 07:34:30,-1.38
2024-01-24 07:34:45,-69.79
2024-01-24 07:35:00,-172.21
2024-01-24 07:35:15,-277.13
2024-01-24 07:35:30,-260.01
2024-01-24 07:35:45,-164.74
2024-01-24 07:36:00,-74.95
2024-01-24 07:36:15,-29.86
2024-01-24 07:36:30,19.09
2024-01-24 07:36:45,-35.81
2024-01-24 07:37:00,-15.09
2024-01-24 07:37:15,87.32
2024-01-24 07:37:30,211.92
2024-01-24 07:37:45,318.72
2024-01-24 07:38:00,349.86
2024-01-24 07:38:15,323.45
2024-01-24 07:38:30,180.25
2024-01-24 07:38:45,184.12
2024-01-24 07:39:00,99.57
2024-01-24 07:39:15,161.52
2024-01-24 07:39:30,201.11
2024-01-24 07:39:45,266.79
2024-01-24 07:40:00,263.65
2024-01-24 07:40:15,227.96
2024-01-24 07:40:30,110.78
