date,value
2013-10-21 05:00:00,21.22
2013-10-22 08:00:00,21.53
2013-10-22 05:00:00,21.95
2013-10-23 08:00:00,21.82
2013-10-23 05:00:00,21.4
2013-10-24 08:00:00,22.08
2013-10-24 05:00:00,22.67
2013-10-25 08:00:00,22.76
2013-10-25 05:00:00,22.15
2013-10-28 08:00:00,22.24
2013-10-28 05:00:00,22.01
2013-10-29 08:00:00,22.76
2013-10-29 05:00:00,22.37
2013-10-30 08:00:00,22.38
2013-10-30 05:00:00,22.58
2013-10-31 08:00:00,22.6
2013-10-31 05:00:00,21.97
2013-11-01 08:00:00,22.04
2013-11-01 05:00:00,22.44
2013-11-04 08:00:00,22.6
2013-11-04 05:00:00,22.71
2013-11-05 08:00:00,22.75
2013-11-05 05:00:00,22.68
2013-11-06 08:00:00,23.26
2013-11-06 05:00:00,22.4
2013-11-07 08:00:00,22.53
2013-11-07 05:00:00,22.08
2013-11-08 08:00:00,22.16
2013-11-08 05:00:00,23.21
2013-11-11 08:00:00,23.25
2013-11-11 05:00:00,23.27
2013-11-12 08:00:00,23.26
2013-11-12 05:00:00,23.52
2013-11-13 08:00:00,24.22
2013-11-13 05:00:00,23.31
2013-11-14 08:00:00,23.79
2013-11-14 05:00:00,23.66
2013-11-15 08:00:00,23.73
2013-11-15 05:00:00,23.89
2013-11-18 08:00:00,24.22
2013-11-18 05:00:00,24.4
2013-11-19 08:00:00,24.55
2013-11-19 05:00:00,24.23
2013-11-20 08:00:00,24.29
2013-11-20 05:00:00,24.06
2013-11-21 08:00:00,24.07
2013-11-21 05:00:00,23.99
2013-11-22 08:00:00,24.2
2013-11-22 05:00:00,24.27
2013-11-25 08:00:00,24.45
2013-11-25 05:00:00,24.24
2013-11-26 08:00:00,24.17
2013-11-26 05:00:00,23.81
2013-11-27 08:00:00,23.92
2013-11-27 05:00:00,23.98
2013-11-29 08:00:00,24.12
2013-11-29 05:00:00,23.48
2013-12-02 08:00:00,23.55
2013-12-02 05:00:00,23.04
2013-12-03 08:00:00,22.99
2013-12-03 05:00:00,22.39
2013-12-04 08:00:00,22.38
2013-12-04 05:00:00,21.87
2013-12-05 08:00:00,22.27
2013-12-05 05:00:00,22.35
2013-12-06 08:00:00,22.72
2013-12-06 05:00:00,22.55
2013-12-09 08:00:00,23.95
2013-12-09 05:00:00,24.6
2013-12-10 08:00:00,24.54
2013-12-10 05:00:00,24.88
2013-12-11 08:00:00,25.44
2013-12-11 05:00:00,25.99
2013-12-12 08:00:00,26.2
2013-12-12 05:00:00,25.45
2013-12-13 08:00:00,25.61
2013-12-13 05:00:00,26.23
2013-12-16 08:00:00,26.63
2013-12-16 05:00:00,26.61
2013-12-17 08:00:00,26.47
2013-12-17 05:00:00,26.1
2013-12-18 08:00:00,25.99
2013-12-18 05:00:00,26.23
2013-12-19 08:00:00,26.09
2013-12-19 05:00:00,26.12
2013-12-20 08:00:00,26.16
2013-12-20 05:00:00,26.33
2013-12-23 08:00:00,26.29
2013-12-23 05:00:00,26.18
2013-12-24 08:00:00,26.0
2013-12-24 05:00:00,26.25
2013-12-26 08:00:00,26.12
2013-12-26 05:00:00,26.13
2013-12-27 08:00:00,25.95
2013-12-27 05:00:00,24.94
2013-12-30 08:00:00,24.87
2013-12-30 05:00:00,24.78
2013-12-31 08:00:00,24.74
2013-12-31 05:00:00,25.25
2014-01-02 08:00:00,25.07
2014-01-02 05:00:00,25.36
2014-01-03 08:00:00,25.75
2014-01-03 05:00:00,26.54
2014-01-06 08:00:00,26.62
2014-01-06 05:00:00,27.03
2014-01-07 08:00:00,27.2
2014-01-07 05:00:00,26.905
2014-01-08 08:00:00,26.37
2014-01-08 05:00:00,27.63
2014-01-09 08:00:00,28.24
2014-01-09 05:00:00,29.42
2014-01-10 08:00:00,29.05
2014-01-10 05:00:00,29.35
2014-01-13 08:00:00,29.18
2014-01-13 05:00:00,28.65
2014-01-14 08:00:00,28.75
2014-01-14 05:00:00,28.87
2014-01-15 08:00:00,28.9
2014-01-15 05:00:00,28.84
2014-01-16 08:00:00,28.94
2014-01-16 05:00:00,29.34
2014-01-17 08:00:00,29.3
2014-01-17 05:00:00,30.02
2014-01-21 08:00:00,30.66
2014-01-21 05:00:00,30.66
2014-01-22 08:00:00,30.71
2014-01-22 05:00:00,31.2
2014-01-23 08:00:00,30.65
2014-01-23 05:00:00,31.35
2014-01-24 08:00:00,31.02
2014-01-24 05:00:00,30.4
2014-01-27 08:00:00,30.4
2014-01-27 05:00:00,30.18
2014-01-28 08:00:00,30.32
2014-01-28 05:00:00,31.96
2014-01-29 08:00:00,32.24
2014-01-29 05:00:00,32.98
2014-01-30 08:00:00,33.36
2014-01-30 05:00:00,33.8
2014-01-31 08:00:00,33.44
2014-01-31 05:00:00,33.55
2014-02-03 08:00:00,33.95
2014-02-03 05:00:00,33.96
2014-02-04 08:00:00,34.04
2014-02-04 05:00:00,34.05
2014-02-05 08:00:00,33.82
2014-02-05 05:00:00,33.8
2014-02-06 08:00:00,33.71
2014-02-06 05:00:00,34.66
2014-02-07 08:00:00,34.81
2014-02-07 05:00:00,35.67
2014-02-10 08:00:00,36.1
2014-02-10 05:00:00,35.58
2014-02-11 08:00:00,35.58
2014-02-11 05:00:00,35.13
2014-02-12 08:00:00,34.89
2014-02-12 05:00:00,34.69
2014-02-13 08:00:00,34.07
2014-02-13 05:00:00,35.025
2014-02-14 08:00:00,34.85
2014-02-14 05:00:00,34.41
2014-02-18 08:00:00,34.73
2014-02-18 05:00:00,34.31
2014-02-19 08:00:00,34.25
2014-02-19 05:00:00,34.59
2014-02-20 08:00:00,34.43
2014-02-20 05:00:00,35.66
2014-02-21 08:00:00,35.78
2014-02-21 05:00:00,36.17
2014-02-24 08:00:00,36.2
2014-02-24 05:00:00,36.65
2014-02-25 08:00:00,36.63
2014-02-25 05:00:00,37.0
2014-02-26 08:00:00,37.12
2014-02-26 05:00:00,36.75
2014-02-27 08:00:00,36.88
2014-02-27 05:00:00,36.56
2014-02-28 08:00:00,36.11
2014-02-28 05:00:00,36.93
2014-03-03 08:00:00,36.17
2014-03-03 05:00:00,36.1
2014-03-04 08:00:00,36.57
2014-03-04 05:00:00,37.34
2014-03-05 08:00:00,37.6
2014-03-05 05:00:00,37.86
2014-03-06 08:00:00,38.28
2014-03-06 05:00:00,38.81
2014-03-07 08:00:00,39.17
2014-03-07 05:00:00,39.02
2014-03-10 08:00:00,38.7
2014-03-10 05:00:00,38.96
2014-03-11 08:00:00,38.65
2014-03-11 05:00:00,38.08
2014-03-12 08:00:00,37.97
2014-03-12 05:00:00,37.5599
2014-03-13 08:00:00,37.9
2014-03-13 05:00:00,36.74
2014-03-14 08:00:00,36.0
2014-03-14 05:00:00,36.34
2014-03-17 08:00:00,36.62
2014-03-17 05:00:00,37.7
2014-03-18 08:00:00,37.75
2014-03-18 05:00:00,37.35
2014-03-19 08:00:00,37.27
2014-03-19 05:00:00,37.08
2014-03-20 08:00:00,36.61
2014-03-20 05:00:00,36.56
2014-03-21 08:00:00,36.76
2014-03-21 05:00:00,36.11
2014-03-24 08:00:00,36.25
2014-03-24 05:00:00,36.8
2014-03-25 08:00:00,36.88
2014-03-25 05:00:00,37.9
2014-03-26 08:00:00,38.15
2014-03-26 05:00:00,36.7
2014-03-27 08:00:00,36.62
2014-03-27 05:00:00,35.77
2014-03-28 08:00:00,35.77
2014-03-28 05:00:00,35.39
2014-03-31 08:00:00,35.84
2014-03-31 05:00:00,36.6
2014-04-01 08:00:00,36.95
2014-04-01 05:00:00,37.94
2014-04-02 08:00:00,38.24
2014-04-02 05:00:00,37.71
2014-04-03 08:00:00,37.72
2014-04-03 05:00:00,37.34
2014-04-04 08:00:00,37.41
2014-04-04 05:00:00,36.56
2014-04-07 08:00:00,36.78
2014-04-07 05:00:00,35.78
2014-04-08 08:00:00,36.0
2014-04-08 05:00:00,35.98
2014-04-09 08:00:00,36.08
2014-04-09 05:00:00,36.9
2014-04-10 08:00:00,36.7
2014-04-10 05:00:00,35.29
2014-04-11 08:00:00,34.1
2014-04-11 05:00:00,33.6799
2014-04-14 08:00:00,34.0
2014-04-14 05:00:00,33.37
2014-04-15 08:00:00,33.52
2014-04-15 05:00:00,33.72
2014-04-16 08:00:00,34.17
2014-04-16 05:00:00,35.51
2014-04-17 08:00:00,35.5
2014-04-17 05:00:00,35.4
2014-04-21 08:00:00,35.08
2014-04-21 05:00:00,35.67
2014-04-22 08:00:00,35.76
2014-04-22 05:00:00,36.16
2014-04-23 08:00:00,37.14
2014-04-23 05:00:00,37.09
2014-04-24 08:00:00,37.84
2014-04-24 05:00:00,37.26
2014-04-25 08:00:00,37.0
2014-04-25 05:00:00,36.0
2014-04-28 08:00:00,36.41
2014-04-28 05:00:00,35.16
2014-04-29 08:00:00,35.2
2014-04-29 05:00:00,35.51
2014-04-30 08:00:00,35.68
2014-04-30 05:00:00,35.07
2014-05-01 08:00:00,35.86
2014-05-01 05:00:00,36.39
2014-05-02 08:00:00,36.27
2014-05-02 05:00:00,36.49
2014-05-05 08:00:00,36.08
2014-05-05 05:00:00,36.6
2014-05-06 08:00:00,37.14
2014-05-06 05:00:00,36.67
2014-05-07 08:00:00,36.53
2014-05-07 05:00:00,37.22
2014-05-08 08:00:00,37.25
2014-05-08 05:00:00,38.25
2014-05-09 08:00:00,37.96
2014-05-09 05:00:00,38.26
2014-05-12 08:00:00,38.35
2014-05-12 05:00:00,39.39
2014-05-13 08:00:00,38.95
2014-05-13 05:00:00,39.31
2014-05-14 08:00:00,39.08
2014-05-14 05:00:00,38.84
2014-05-15 08:00:00,38.55
2014-05-15 05:00:00,38.19
2014-05-16 08:00:00,38.01
2014-05-16 05:00:00,38.525
2014-05-19 08:00:00,38.49
2014-05-19 05:00:00,38.57
2014-05-20 08:00:00,38.54
2014-05-20 05:00:00,38.24
2014-05-21 08:00:00,38.28
2014-05-21 05:00:00,38.32
2014-05-22 08:00:00,38.3
2014-05-22 05:00:00,38.72
2014-05-23 08:00:00,38.53
2014-05-23 05:00:00,39.11
2014-05-27 08:00:00,39.38
2014-05-27 05:00:00,39.35
2014-05-28 08:00:00,39.4
2014-05-28 05:00:00,39.8
2014-05-29 08:00:00,39.89
2014-05-29 05:00:00,39.82
2014-05-30 08:00:00,39.83
2014-05-30 05:00:00,40.16
2014-06-02 08:00:00,40.0
2014-06-02 05:00:00,41.22
2014-06-03 08:00:00,41.13
2014-06-03 05:00:00,41.44
2014-06-04 08:00:00,41.36
2014-06-04 05:00:00,42.82
2014-06-05 08:00:00,43.0
2014-06-05 05:00:00,42.41
2014-06-06 08:00:00,42.45
2014-06-06 05:00:00,43.88
2014-06-09 08:00:00,44.0
2014-06-09 05:00:00,43.59
2014-06-10 08:00:00,43.5
2014-06-10 05:00:00,43.66
2014-06-11 08:00:00,42.9
2014-06-11 05:00:00,42.29
2014-06-12 08:00:00,41.27
2014-06-12 05:00:00,40.2
2014-06-13 08:00:00,40.25
2014-06-13 05:00:00,40.38
2014-06-16 08:00:00,39.68
2014-06-16 05:00:00,41.06
2014-06-17 08:00:00,41.08
2014-06-17 05:00:00,41.87
2014-06-18 08:00:00,41.93
2014-06-18 05:00:00,42.66
2014-06-19 08:00:00,42.82
2014-06-19 05:00:00,43.06
2014-06-20 08:00:00,43.04
2014-06-20 05:00:00,44.55
2014-06-23 08:00:00,44.3
2014-06-23 05:00:00,44.36
2014-06-24 08:00:00,44.14
2014-06-24 05:00:00,43.179
2014-06-25 08:00:00,42.9
2014-06-25 05:00:00,43.91
2014-06-26 08:00:00,43.96
2014-06-26 05:00:00,44.55
2014-06-27 08:00:00,44.3
2014-06-27 05:00:00,44.0
2014-06-30 08:00:00,44.04
2014-06-30 05:00:00,42.96
2014-07-01 08:00:00,43.44
2014-07-01 05:00:00,43.86
2014-07-02 08:00:00,42.89
2014-07-02 05:00:00,41.95
2014-07-03 08:00:00,42.61
2014-07-03 05:00:00,41.62
2014-07-07 08:00:00,41.72
2014-07-07 05:00:00,40.1
2014-07-08 08:00:00,39.14
2014-07-08 05:00:00,40.26
2014-07-09 08:00:00,42.08
2014-07-09 05:00:00,41.985
2014-07-10 08:00:00,41.0
2014-07-10 05:00:00,42.82
2014-07-11 08:00:00,42.91
2014-07-11 05:00:00,42.88
2014-07-14 08:00:00,43.26
2014-07-14 05:00:00,42.98
2014-07-15 08:00:00,43.33
2014-07-15 05:00:00,43.7
2014-07-16 08:00:00,44.0
2014-07-16 05:00:00,43.48
2014-07-17 08:00:00,43.04
2014-07-17 05:00:00,41.6999
2014-07-18 08:00:00,42.23
2014-07-18 05:00:00,42.9199
2014-07-21 08:00:00,42.91
2014-07-21 05:00:00,42.48
2014-07-22 08:00:00,42.7
2014-07-22 05:00:00,42.38
2014-07-23 08:00:00,42.72
2014-07-23 05:00:00,43.33
2014-07-24 08:00:00,42.5
2014-07-24 05:00:00,42.16
2014-07-25 08:00:00,42.25
2014-07-25 05:00:00,41.68
2014-07-28 08:00:00,41.87
2014-07-28 05:00:00,40.29
2014-07-29 08:00:00,40.65
2014-07-29 05:00:00,39.53
2014-07-30 08:00:00,39.9
2014-07-30 05:00:00,39.55
2014-07-31 08:00:00,38.9
2014-07-31 05:00:00,38.85
2014-08-01 08:00:00,38.75
2014-08-01 05:00:00,39.43
2014-08-04 08:00:00,39.49
2014-08-04 05:00:00,38.14
2014-08-05 08:00:00,37.89
2014-08-05 05:00:00,37.18
2014-08-06 08:00:00,36.56
2014-08-06 05:00:00,37.46
