Local Time,LMP
2023-02-02 17:55:00,100.08
2023-02-02 18:00:00,100.08
2023-02-02 18:05:00,86.09
2023-02-02 18:10:00,86.08
2023-02-02 18:15:00,86.08
2023-02-02 18:20:00,78.32
2023-02-02 18:25:00,85.3
2023-02-02 18:30:00,76.73
2023-02-02 18:35:00,78.3
2023-02-02 18:40:00,73.98
2023-02-02 18:45:00,73.98
2023-02-02 18:50:00,68.35
2023-02-02 18:55:00,68.81
2023-02-02 19:00:00,72.24
2023-02-02 19:05:00,72.44
2023-02-02 19:10:00,72.44
2023-02-02 19:15:00,72.43
2023-02-02 19:20:00,76.65
2023-02-02 19:25:00,76.65
2023-02-02 19:30:00,76.78
2023-02-02 19:35:00,65.07
2023-02-02 19:40:00,65.07
2023-02-02 19:45:00,66.35
2023-02-02 19:50:00,67.62
2023-02-02 19:55:00,65.16
2023-02-02 20:00:00,65.16
2023-02-02 20:05:00,76.7
2023-02-02 20:10:00,76.71
2023-02-02 20:15:00,70.29
2023-02-02 20:20:00,72.16
2023-02-02 20:25:00,72.16
2023-02-02 20:30:00,72.45
2023-02-02 20:35:00,70.42
2023-02-02 20:40:00,70.42
2023-02-02 20:45:00,65.88
2023-02-02 20:50:00,65.88
2023-02-02 20:55:00,66.02
2023-02-02 21:00:00,66.02
2023-02-02 21:05:00,66.02
2023-02-02 21:10:00,101.68
2023-02-02 21:15:00,91.54
2023-02-02 21:20:00,103.76
2023-02-02 21:25:00,95.72
2023-02-02 21:30:00,95.82
2023-02-02 21:35:00,87.78
2023-02-02 21:40:00,87.78
2023-02-02 21:45:00,87.78
2023-02-02 21:50:00,87.78
2023-02-02 21:55:00,78.02
2023-02-02 22:00:00,78.02
2023-02-02 22:05:00,86.54
2023-02-02 22:10:00,86.54
2023-02-02 22:15:00,77.77
2023-02-02 22:20:00,77.77
2023-02-02 22:25:00,88.59
2023-02-02 22:30:00,87.11
2023-02-02 22:35:00,87.11
2023-02-02 22:40:00,87.11
2023-02-02 22:45:00,63.57
2023-02-02 22:50:00,63.57
2023-02-02 22:55:00,68.74
2023-02-02 23:00:00,71.39
2023-02-02 23:05:00,71.41
2023-02-02 23:10:00,63.0
2023-02-02 23:15:00,61.02
2023-02-02 23:20:00,0.0
2023-02-02 23:25:00,0.0
2023-02-02 23:30:00,0.0
2023-02-02 23:35:00,-21.77
2023-02-02 23:40:00,-25.68
2023-02-02 23:45:00,-25.68
2023-02-02 23:50:00,-25.48
2023-02-02 23:55:00,-25.48
2023-02-03 00:00:00,0.01
2023-02-03 00:05:00,20.83
2023-02-03 00:10:00,49.2
2023-02-03 00:15:00,49.2
